"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"1",0.256666666666667,0,0,0,0.743333333333333
"2",0.945,0,0,0.055,0
"3",0.506666666666667,0,0,0,0.493333333333333
"4",0.263333333333333,0,0,0,0.736666666666667
"5",0.866666666666667,0,0,0.133333333333333,0
"6",0.568333333333333,0,0,0.431666666666667,0
"7",0.648333333333333,0,0.0416666666666667,0.035,0.275
"8",0.875,0,0,0,0.125
"9",1,0,0,0,0
"10",1,0,0,0,0
"11",1,0,0,0,0
"12",0.215,0,0,0.0533333333333333,0.731666666666667
"13",0.998333333333333,0,0,0,0.00166666666666667
"14",0.866666666666667,0,0,0.133333333333333,0
"15",1,0,0,0,0
"16",1,0,0,0,0
"17",0.508333333333333,0,0,0.491666666666667,0
"18",0.568333333333333,0,0,0.431666666666667,0
"19",0.721666666666667,0,0,0.00833333333333333,0.27
"20",0.0816666666666667,0,0.0533333333333333,0,0.865
"21",0.651666666666667,0,0,0,0.348333333333333
"22",0,0,0,0,1
"23",1,0,0,0,0
"24",0,0,0,0,1
"25",1,0,0,0,0
"26",0.506666666666667,0,0,0,0.493333333333333
"27",0.885,0,0,0,0.115
"28",0.271666666666667,0,0,0,0.728333333333333
"29",0.568333333333333,0,0,0.431666666666667,0
"30",0.866666666666667,0,0,0.133333333333333,0
"31",0.658333333333333,0,0,0.341666666666667,0
"32",1,0,0,0,0
"33",0.496666666666667,0,0,0,0.503333333333333
"34",0.885,0,0,0,0.115
"35",0.158333333333333,0,0,0,0.841666666666667
"36",1,0,0,0,0
"37",0.535,0,0,0.0216666666666667,0.443333333333333
"38",1,0,0,0,0
"39",0.658333333333333,0,0,0.341666666666667,0
"40",1,0,0,0,0
"41",0.263333333333333,0,0,0.0133333333333333,0.723333333333333
"42",0,0,0,0,1
"43",0.713333333333333,0,0,0,0.286666666666667
"44",0,0,0,0,1
"45",0.496666666666667,0,0,0,0.503333333333333
"46",0.945,0,0,0.055,0
"47",0.721666666666667,0,0,0.00833333333333333,0.27
"48",0.866666666666667,0,0,0.133333333333333,0
"49",0.658333333333333,0,0,0.341666666666667,0
"50",0.263333333333333,0,0,0.0166666666666667,0.72
"51",0.155,0,0,0,0.845
"52",0.588333333333333,0,0,0.411666666666667,0
"53",0.885,0,0,0,0.115
"54",0.123333333333333,0,0,0,0.876666666666667
"55",0.08,0,0.00333333333333333,0,0.916666666666667
"56",0.791666666666667,0,0,0.0316666666666667,0.176666666666667
"57",1,0,0,0,0
"58",0,0,0,0,1
"59",0.0833333333333333,0,0,0,0.916666666666667
"60",1,0,0,0,0
"61",0.866666666666667,0,0,0.133333333333333,0
"62",0.535,0,0,0.465,0
"63",0.506666666666667,0,0,0,0.493333333333333
"64",0,0,0,0,1
"65",0.155,0,0,0,0.845
"66",1,0,0,0,0
"67",0.885,0,0,0,0.115
"68",0.183333333333333,0,0.08,0.248333333333333,0.488333333333333
"69",0.866666666666667,0,0,0.133333333333333,0
"70",0.0783333333333333,0,0,0,0.921666666666667
"71",0.265,0,0,0,0.735
"72",1,0,0,0,0
"73",0,0,0,0,1
"74",0.866666666666667,0,0,0.133333333333333,0
"75",0,0,0,0,1
"76",0.158333333333333,0,0,0,0.841666666666667
"77",0.885,0,0,0,0.115
"78",0.535,0,0,0.0216666666666667,0.443333333333333
"79",0.741666666666667,0,0,0.258333333333333,0
"80",0.853333333333333,0,0,0,0.146666666666667
"81",0,0,0,0,1
"82",0,0,0,0,1
"83",1,0,0,0,0
"84",0,0,0,0,1
"85",0.496666666666667,0,0,0.503333333333333,0
"86",0.158333333333333,0,0,0,0.841666666666667
"87",0.215,0,0,0.0533333333333333,0.731666666666667
"88",1,0,0,0,0
"89",0.0783333333333333,0,0,0,0.921666666666667
"90",0.885,0,0,0,0.115
"91",0.085,0,0.151666666666667,0.035,0.728333333333333
"92",0.08,0,0.005,0.00666666666666667,0.908333333333333
"93",0.885,0,0,0,0.115
"94",0.568333333333333,0,0,0.431666666666667,0
"95",0.651666666666667,0,0,0,0.348333333333333
"96",0.866666666666667,0,0,0.133333333333333,0
